2023-10-27T14:31:44.886  Database calls and statement text by call end time

mrskew --rc=calls.rc --top=0 "C:\Users\berx\Downloads\FREE_ora_53693_SESSION_C.trc"

input files:
	'C:\Users\berx\Downloads\FREE_ora_53693_SESSION_C.trc'

where expression:
	((1) and (1)) and $is_dbcall

group expression:
	sprintf("%27s %10d %10d %10d  %-40.40s %-.46s", $time1, $line, $parse_id, $exec_id, "· "x$dep.$name.(scalar(@bind)?"(".join(",",@bind).")":""), "· "x$dep.$sql)

matched input files:
	'C:\Users\berx\Downloads\FREE_ora_53693_SESSION_C.trc'

matched call names:
	'CLOSE'
	'ERROR'
	'EXEC'
	'FETCH'
	'PARSE'
	'XCTEND'

                   END-TIMe       LINE   PARSE-ID    EXEC-ID  CALL-NAME(BOUND-VALUES)                  STATEMENT-TEXT                                
-----------------------------------------------------------------------------------------------------------------------------------------------------
 2023-10-26T14:51:55.199686         34          0          0  CLOSE                                    #140437751622392:C:\Users\berx\Downloads\FREE_
 2023-10-26T14:51:55.200764         39         39          0  · PARSE                                  · select condition from cdef$ where rowid=:1  
 2023-10-26T14:51:55.200979         47         39         47  · EXEC(00008151.001C.0001)               · select condition from cdef$ where rowid=:1  
 2023-10-26T14:51:55.201041         48         39         47  · FETCH(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:51:55.201139         50         39         47  · CLOSE(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:51:55.201302         51         51          0  · PARSE                                  · select condition from cdef$ where rowid=:1  
 2023-10-26T14:51:55.201419         59         51         59  · EXEC(00008151.001C.0001)               · select condition from cdef$ where rowid=:1  
 2023-10-26T14:51:55.201446         60         51         59  · FETCH(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:51:55.201467         61         51         59  · CLOSE(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:51:55.202602         67         67          0  PARSE                                    update ticketsales set capacity = capacity - 5
 2023-10-26T14:51:55.202876         72         72          0  · PARSE                                  · SELECT NVL(((select NVL(sum(CAPACITY_RESERVE
 2023-10-26T14:51:55.203106         87         72         87  · EXEC(04000100330500,1,)                · SELECT NVL(((select NVL(sum(CAPACITY_RESERVE
 2023-10-26T14:51:55.203295         88         72         87  · FETCH(04000100330500,1,)               · SELECT NVL(((select NVL(sum(CAPACITY_RESERVE
 2023-10-26T14:51:55.203576         98         98          0  · PARSE                                  · INSERT INTO "SYS_RESERVJRNL_98174" (ORA_SAGA
 2023-10-26T14:51:55.203951        135         98        135  · EXEC(,04000100330500,"ACTIVE","UPDATE" · INSERT INTO "SYS_RESERVJRNL_98174" (ORA_SAGA
 2023-10-26T14:51:55.204026        137         67        137  EXEC                                     update ticketsales set capacity = capacity - 5
 2023-10-26T14:52:02.051276        144         67        137  CLOSE                                    update ticketsales set capacity = capacity - 5
 2023-10-26T14:52:02.051621        149        149          0  PARSE                                    select xid from v$transaction where addr=(sele
 2023-10-26T14:52:02.051806        150        149        150  EXEC                                     select xid from v$transaction where addr=(sele
 2023-10-26T14:52:02.052622        152        149        150  FETCH                                    select xid from v$transaction where addr=(sele
 2023-10-26T14:52:02.060402        154        149        150  FETCH                                    select xid from v$transaction where addr=(sele
