VERSION,CPUs,PARAMETER,INSTANCE_VALUE
11.1.0.7,1,__db_cache_size,13220446208                                                                                                               
11.1.0.7,1,__shared_pool_size,402653184                                                                                                              
11.1.0.7,1,_cursor_db_buffers_pinned,15856                                                                                                           
11.1.0.7,1,_db_block_buffers,1585890                                                                                                                 
11.1.0.7,1,_db_block_lru_latches,16                                                                                                                  
11.1.0.7,1,_enqueue_hash_chain_latches,1                                                                                                             
11.1.0.7,1,_enqueue_locks,1590                                                                                                                       
11.1.0.7,1,_flashback_generation_buffer_size,4194304                                                                                                 
11.1.0.7,1,_kghdsidx_count,1                                                                                                                         
11.1.0.7,1,_log_parallelism_max,1                                                                                                                    
11.1.0.7,1,_log_simultaneous_copies,2                                                                                                                
11.1.0.7,1,_num_longop_child_latches,1                                                                                                               
11.1.0.7,1,_parallel_min_message_pool,64560                                                                                                          
11.1.0.7,1,_shared_server_num_queues,1                                                                                                               
11.1.0.7,1,_small_table_threshold,31717                                                                                                              
11.1.0.7,1,_spin_count,1                                                                                                                             
11.1.0.7,1,_sqlmon_max_plan,20                                                                                                                       
11.1.0.7,1,cpu_count,1                                                                                                                               
11.1.0.7,1,db_writer_processes,2                                                                                                                     
11.1.0.7,1,log_buffer,2100736                                                                                                                        
11.1.0.7,1,parallel_max_servers,10                                                                                                                   
11.1.0.7,2,__db_cache_size,13220446208                                                                                                               
11.1.0.7,2,__shared_pool_size,402653184                                                                                                              
11.1.0.7,2,_cursor_db_buffers_pinned,15856                                                                                                           
11.1.0.7,2,_db_block_buffers,1585890                                                                                                                 
11.1.0.7,2,_db_block_lru_latches,16                                                                                                                  
11.1.0.7,2,_enqueue_hash_chain_latches,2                                                                                                             
11.1.0.7,2,_enqueue_locks,1610                                                                                                                       
11.1.0.7,2,_flashback_generation_buffer_size,8388608                                                                                                 
11.1.0.7,2,_kghdsidx_count,1                                                                                                                         
11.1.0.7,2,_log_parallelism_max,2                                                                                                                    
11.1.0.7,2,_log_simultaneous_copies,4                                                                                                                
11.1.0.7,2,_num_longop_child_latches,2                                                                                                               
11.1.0.7,2,_parallel_min_message_pool,64560                                                                                                          
11.1.0.7,2,_shared_server_num_queues,2                                                                                                               
11.1.0.7,2,_small_table_threshold,31717                                                                                                              
11.1.0.7,2,_spin_count,2000                                                                                                                          
11.1.0.7,2,_sqlmon_max_plan,40                                                                                                                       
11.1.0.7,2,cpu_count,2                                                                                                                               
11.1.0.7,2,db_writer_processes,2                                                                                                                     
11.1.0.7,2,log_buffer,4197376                                                                                                                        
11.1.0.7,2,parallel_max_servers,20                                                                                                                   
11.1.0.7,3,__db_cache_size,13220446208                                                                                                               
11.1.0.7,3,__shared_pool_size,402653184                                                                                                              
11.1.0.7,3,_cursor_db_buffers_pinned,15856                                                                                                           
11.1.0.7,3,_db_block_buffers,1585890                                                                                                                 
11.1.0.7,3,_db_block_lru_latches,16                                                                                                                  
11.1.0.7,3,_enqueue_hash_chain_latches,3                                                                                                             
11.1.0.7,3,_enqueue_locks,1630                                                                                                                       
11.1.0.7,3,_flashback_generation_buffer_size,12582912                                                                                                
11.1.0.7,3,_kghdsidx_count,1                                                                                                                         
11.1.0.7,3,_log_parallelism_max,2                                                                                                                    
11.1.0.7,3,_log_simultaneous_copies,6                                                                                                                
11.1.0.7,3,_num_longop_child_latches,3                                                                                                               
11.1.0.7,3,_parallel_min_message_pool,619776                                                                                                         
11.1.0.7,3,_shared_server_num_queues,2                                                                                                               
11.1.0.7,3,_small_table_threshold,31717                                                                                                              
11.1.0.7,3,_spin_count,2000                                                                                                                          
11.1.0.7,3,_sqlmon_max_plan,60                                                                                                                       
11.1.0.7,3,cpu_count,3                                                                                                                               
11.1.0.7,3,db_writer_processes,2                                                                                                                     
11.1.0.7,3,log_buffer,4197376                                                                                                                        
11.1.0.7,3,parallel_max_servers,30                                                                                                                   
11.1.0.7,4,__db_cache_size,13220446208                                                                                                               
11.1.0.7,4,__shared_pool_size,402653184                                                                                                              
11.1.0.7,4,_cursor_db_buffers_pinned,15856                                                                                                           
11.1.0.7,4,_db_block_buffers,1585890                                                                                                                 
11.1.0.7,4,_db_block_lru_latches,16                                                                                                                  
11.1.0.7,4,_enqueue_hash_chain_latches,4                                                                                                             
11.1.0.7,4,_enqueue_locks,1650                                                                                                                       
11.1.0.7,4,_flashback_generation_buffer_size,16777216                                                                                                
11.1.0.7,4,_kghdsidx_count,1                                                                                                                         
11.1.0.7,4,_log_parallelism_max,2                                                                                                                    
11.1.0.7,4,_log_simultaneous_copies,8                                                                                                                
11.1.0.7,4,_num_longop_child_latches,4                                                                                                               
11.1.0.7,4,_parallel_min_message_pool,1032960                                                                                                        
11.1.0.7,4,_shared_server_num_queues,2                                                                                                               
11.1.0.7,4,_small_table_threshold,31717                                                                                                              
11.1.0.7,4,_spin_count,2000                                                                                                                          
11.1.0.7,4,_sqlmon_max_plan,80                                                                                                                       
11.1.0.7,4,cpu_count,4                                                                                                                               
11.1.0.7,4,db_writer_processes,2                                                                                                                     
11.1.0.7,4,log_buffer,4197376                                                                                                                        
11.1.0.7,4,parallel_max_servers,40                                                                                                                   
11.1.0.7,5,__db_cache_size,12952010752                                                                                                               
11.1.0.7,5,__shared_pool_size,671088640                                                                                                              
11.1.0.7,5,_cursor_db_buffers_pinned,15856                                                                                                           
11.1.0.7,5,_db_block_buffers,1585890                                                                                                                 
11.1.0.7,5,_db_block_lru_latches,16                                                                                                                  
11.1.0.7,5,_enqueue_hash_chain_latches,5                                                                                                             
11.1.0.7,5,_enqueue_locks,1670                                                                                                                       
11.1.0.7,5,_flashback_generation_buffer_size,20971520                                                                                                
11.1.0.7,5,_kghdsidx_count,2                                                                                                                         
11.1.0.7,5,_log_parallelism_max,2                                                                                                                    
11.1.0.7,5,_log_simultaneous_copies,10                                                                                                               
11.1.0.7,5,_num_longop_child_latches,5                                                                                                               
11.1.0.7,5,_parallel_min_message_pool,1076000                                                                                                        
11.1.0.7,5,_shared_server_num_queues,2                                                                                                               
11.1.0.7,5,_small_table_threshold,31717                                                                                                              
11.1.0.7,5,_spin_count,2000                                                                                                                          
11.1.0.7,5,_sqlmon_max_plan,100                                                                                                                      
11.1.0.7,5,cpu_count,5                                                                                                                               
11.1.0.7,5,db_writer_processes,2                                                                                                                     
11.1.0.7,5,log_buffer,4197376                                                                                                                        
11.1.0.7,5,parallel_max_servers,50                                                                                                                   
11.1.0.7,6,__db_cache_size,12952010752                                                                                                               
11.1.0.7,6,__shared_pool_size,671088640                                                                                                              
11.1.0.7,6,_cursor_db_buffers_pinned,15856                                                                                                           
11.1.0.7,6,_db_block_buffers,1585890                                                                                                                 
11.1.0.7,6,_db_block_lru_latches,32                                                                                                                  
